identifier,lat,lon,name,state,country
CYEG,53.31,-113.579,Edmonton Interna,AB,CA
CYHZ,44.881,-63.509,Halifax Internat,NS,CA
CYQB,46.791,-71.393,Quebec/Jean Lesa,QC,CA
CYQR,50.432,-104.666,Regina Internati,SK,CA
CYUL,45.471,-73.741,Montreal/Trudeau,QC,CA
CYVR,49.195,-123.184,Vancouver Intern,BC,CA
CYWG,49.91,-97.24,Winnipeg Interna,MB,CA
CYYC,51.123,-114.013,Calgary Internat,AB,CA
CYYZ,43.677,-79.631,Toronto/Pearson ,ON,CA
KABE,40.65,-75.45,ALLENTOWN       ,PA,US
KABI,32.417,-99.683,ABILENE         ,TX,US
KABQ,35.05,-106.617,ALBUQUERQUE     ,NM,US
KABR,45.46,-98.41,ABERDEEN,SD,US
KACT,31.617,-97.233,WACO            ,TX,US
KACV,40.983,-124.1,ARCATA/EUREKA   ,CA,US
KACY,39.467,-74.583,ATLANTIC CITY   ,NJ,US
KAGS,33.367,-81.967,AUGUSTA/BUSH    ,GA,US
KAHN,33.95,-83.333,ATHENS          ,GA,US
KAKR,41.033,-81.467,AKRON (FULTON)  ,OH,US
KALB,42.75,-73.8,ALBANY          ,NY,US
KALO,42.55,-92.4,WATERLOO        ,IA,US
KALW,46.1,-118.283,WALLA WALLA     ,WA,US
KAMA,35.217,-101.717,AMARILLO        ,TX,US
KANJ,46.467,-84.367,SAULT STE MARIE,MI,US
KAPC,38.2,-122.283,NAPA            ,CA,US
KAPN,45.067,-83.567,ALPENA          ,MI,US
KAST,46.15,-123.883,ASTORIA         ,OR,US
KATL,33.633,-84.45,ATLANTA         ,GA,US
KATT,30.317,-97.767,AUSTIN/MABRY    ,TX,US
KAUS,30.183,-97.683,AUSTIN          ,TX,US
KAVL,35.433,-82.533,ASHEVILLE       ,NC,US
KAVP,41.333,-75.717,AVOCA/WILKES B. ,PA,US
KAZO,42.233,-85.55,KALAMAZOO       ,MI,US
KBAF,42.167,-72.717,WESTFIELD       ,MA,US
KBAZ,29.717,-98.05,NEW BRAUNFELS   ,TX,US
KBDL,41.933,-72.683,WINDSOR LOCKS   ,CT,US
KBDR,41.167,-73.133,BRIDGEPORT      ,CT,US
KBFF,41.867,-103.583,SCOTTSBLUFF     ,NE,US
KBFL,35.433,-119.05,BAKERSFIELD     ,CA,US
KBGM,42.217,-75.983,BINGHAMTON      ,NY,US
KBHM,33.567,-86.75,BIRMINGHAM      ,AL,US
KBIL,45.8,-108.55,BILLINGS,MT,US
KBIS,46.767,-100.75,BISMARCK        ,ND,US
KBKL,41.533,-81.667,CLEVELAND       ,OH,US
KBKW,37.8,-81.117,BECKLEY         ,WV,US
KBNA,36.117,-86.683,NASHVILLE       ,TN,US
KBNO,43.6,-118.95,BURNS           ,OR,US
KBOI,43.567,-116.233,BOISE           ,ID,US
KBOS,42.367,-71.017,BOSTON          ,MA,US
KBPT,29.95,-94.033,BEAUMONT/PORT AR,TX,US
KBRO,25.917,-97.417,BROWNSVILLE     ,TX,US
KBTR,30.533,-91.15,BATON ROUGE     ,LA,US
KBTV,44.467,-73.15,BURLINGTON      ,VT,US
KBUF,42.933,-78.733,BUFFALO/CHEEKTOW,NY,US
KBUR,34.2,-118.367,BURBANK         ,CA,US
KBWI,39.167,-76.683,BALTO/WASH INTL ,MD,US
KCAE,33.933,-81.117,COLUMBIA        ,SC,US
KCAK,40.917,-81.45,AKRON           ,OH,US
KCAR,46.867,-68.017,CARIBOU         ,ME,US
KCHA,35.033,-85.2,CHATTANOOGA     ,TN,US
KCHO,38.133,-78.45,CHARLOTTESVILLE ,VA,US
KCHS,32.9,-80.033,CHARLESTON      ,SC,US
KCKB,39.3,-80.217,CLARKSBURG      ,WV,US
KCLE,41.417,-81.85,CLEVELAND       ,OH,US
KCLL,30.583,-96.367,COLLEGE STATION ,TX,US
KCLT,35.217,-80.95,CHARLOTTE       ,NC,US
KCMH,40,-82.883,COLUMBUS        ,OH,US
KCNK,39.55,-97.65,CONCORDIA       ,KS,US
KCON,43.2,-71.5,CONCORD         ,NH,US
KCOS,38.817,-104.717,COLORADO SPRINGS,CO,US
KCOU,38.817,-92.217,COLUMBIA        ,MO,US
KCPR,42.9,-106.467,CASPER          ,WY,US
KCQT,34.017,-118.283,LOS ANGELES     ,CA,US
KCRP,27.767,-97.5,CORPUS CHRISTI  ,TX,US
KCRW,38.383,-81.583,CHARLESTON      ,WV,US
KCSG,32.517,-84.95,COLUMBUS        ,GA,US
