Production Date,Date,Station,Fcst Mn,Fcst Mx,Fcst Avg,Norm Mn,Norm Max,HDD,CDD
12/6/2018,12/6/2018,KABR,7,22,14.5,8.9,28.3,51,0
12/6/2018,12/7/2018,KABR,8,28,18,8.5,27.9,47,0
12/6/2018,12/8/2018,KABR,10,30,20,8.1,27.5,45,0
12/6/2018,12/9/2018,KABR,8,29,18.5,7.8,27.1,47,0
12/6/2018,12/10/2018,KABR,11,34,22.5,7.4,26.8,43,0
12/6/2018,12/11/2018,KABR,14,35,24.5,7,26.4,41,0
12/6/2018,12/12/2018,KABR,17,37,27,6.7,26.1,38,0
12/6/2018,12/13/2018,KABR,17,36,26.5,6.4,25.8,39,0
12/6/2018,12/14/2018,KABR,15,35,25,6.1,25.5,40,0
12/6/2018,12/15/2018,KABR,14,35,24.5,5.7,25.2,41,0
12/6/2018,12/16/2018,KABR,14,35,24.5,5.4,25,41,0
12/6/2018,12/17/2018,KABR,14,33,23.5,5.2,24.7,42,0
12/6/2018,12/18/2018,KABR,17,36,26.5,4.9,24.5,39,0
12/6/2018,12/19/2018,KABR,18,37,27.5,4.6,24.2,38,0
12/6/2018,12/6/2018,KABI,37,60,48.5,35.2,58.4,17,0
12/6/2018,12/7/2018,KABI,34,44,39,34.9,58.1,26,0
12/6/2018,12/8/2018,KABI,32,42,37,34.7,57.9,28,0
12/6/2018,12/9/2018,KABI,27,49,38,34.4,57.6,27,0
12/6/2018,12/10/2018,KABI,30,55,42.5,34.2,57.4,23,0
12/6/2018,12/11/2018,KABI,39,59,49,34,57.2,16,0
12/6/2018,12/12/2018,KABI,44,63,53.5,33.8,57,12,0
12/6/2018,12/13/2018,KABI,37,64,50.5,33.6,56.8,15,0
12/6/2018,12/14/2018,KABI,37,58,47.5,33.5,56.6,18,0
12/6/2018,12/15/2018,KABI,38,61,49.5,33.3,56.5,16,0
12/6/2018,12/16/2018,KABI,37,61,49,33.2,56.3,16,0
12/6/2018,12/17/2018,KABI,38,62,50,33.1,56.2,15,0
12/6/2018,12/18/2018,KABI,40,64,52,33,56.1,13,0
12/6/2018,12/19/2018,KABI,38,59,48.5,32.9,56,17,0
12/6/2018,12/6/2018,KALB,25,39,32,24.9,39.3,33,0
12/6/2018,12/7/2018,KALB,17,30,23.5,24.5,38.9,42,0
12/6/2018,12/8/2018,KALB,19,32,25.5,24.2,38.4,40,0
12/6/2018,12/9/2018,KALB,23,37,30,23.8,38.1,35,0
12/6/2018,12/10/2018,KALB,17,34,25.5,23.4,37.7,40,0
12/6/2018,12/11/2018,KALB,15,30,22.5,23,37.3,43,0
12/6/2018,12/12/2018,KALB,18,36,27,22.6,36.9,38,0
12/6/2018,12/13/2018,KALB,25,42,33.5,22.2,36.5,32,0
12/6/2018,12/14/2018,KALB,31,44,37.5,21.8,36.2,28,0
12/6/2018,12/15/2018,KALB,32,45,38.5,21.4,35.8,27,0
12/6/2018,12/16/2018,KALB,29,41,35,21,35.5,30,0
12/6/2018,12/17/2018,KALB,26,39,32.5,20.6,35.1,33,0
12/6/2018,12/18/2018,KALB,26,39,32.5,20.3,34.8,33,0
12/6/2018,12/19/2018,KALB,26,40,33,19.9,34.5,32,0
12/6/2018,12/6/2018,KABQ,30,51,40.5,27.6,47.4,25,0
12/6/2018,12/7/2018,KABQ,32,49,40.5,27.4,47.2,25,0
12/6/2018,12/8/2018,KABQ,26,48,37,27.2,46.9,28,0
12/6/2018,12/9/2018,KABQ,24,46,35,27.1,46.7,30,0
12/6/2018,12/10/2018,KABQ,26,47,36.5,26.9,46.5,29,0
12/6/2018,12/11/2018,KABQ,28,50,39,26.7,46.3,26,0
12/6/2018,12/12/2018,KABQ,27,49,38,26.6,46.1,27,0
12/6/2018,12/13/2018,KABQ,22,45,33.5,26.5,45.9,32,0
12/6/2018,12/14/2018,KABQ,28,48,38,26.4,45.8,27,0
12/6/2018,12/15/2018,KABQ,25,46,35.5,26.3,45.6,30,0
12/6/2018,12/16/2018,KABQ,26,47,36.5,26.2,45.5,29,0
12/6/2018,12/17/2018,KABQ,29,50,39.5,26.1,45.4,26,0
12/6/2018,12/18/2018,KABQ,28,50,39,26,45.3,26,0
12/6/2018,12/19/2018,KABQ,26,47,36.5,25.9,45.3,29,0
