station_id,lat,lon,station_name,state,country,production_date,forecast_date,fcst_mn,fcst_mx,fcst_avg,norm_mn,norm_mx
KABE,40.65,-75.45,ALLENTOWN       ,PA,US,12/6/2018,12/6/2018,27,39,33.0,26.8,43.7
KABI,32.417,-99.68299999999999,ABILENE         ,TX,US,12/6/2018,12/6/2018,37,60,48.5,35.2,58.4
KABQ,35.05,-106.617,ALBUQUERQUE     ,NM,US,12/6/2018,12/6/2018,30,51,40.5,27.6,47.4
KABR,45.46,-98.41,ABERDEEN,SD,US,12/6/2018,12/6/2018,7,22,14.5,8.9,28.3
KACT,31.616999999999997,-97.23299999999999,WACO            ,TX,US,12/6/2018,12/6/2018,47,62,54.5,39.1,60.8
KACV,40.983000000000004,-124.1,ARCATA/EUREKA   ,CA,US,12/6/2018,12/6/2018,35,56,45.5,39.0,54.2
KACY,39.467,-74.583,ATLANTIC CITY   ,NJ,US,12/6/2018,12/6/2018,28,41,34.5,31.1,48.8
KAGS,33.367,-81.96700000000001,AUGUSTA/BUSH    ,GA,US,12/6/2018,12/6/2018,31,52,41.5,36.1,62.4
KAHN,33.95,-83.333,ATHENS          ,GA,US,12/6/2018,12/6/2018,30,48,39.0,36.7,58.0
KAKR,41.033,-81.467,AKRON (FULTON)  ,OH,US,12/6/2018,12/6/2018,26,38,32.0,27.1,39.7
KALB,42.75,-73.8,ALBANY          ,NY,US,12/6/2018,12/6/2018,25,39,32.0,24.9,39.3
KALO,42.55,-92.4,WATERLOO        ,IA,US,12/6/2018,12/6/2018,10,27,18.5,16.4,34.0
KALW,46.1,-118.28299999999999,WALLA WALLA     ,WA,US,12/6/2018,12/6/2018,21,35,28.0,29.6,39.8
KAMA,35.217,-101.71700000000001,AMARILLO        ,TX,US,12/6/2018,12/6/2018,23,40,31.5,25.1,51.0
KANJ,46.467,-84.367,SAULT STE MARIE,MI,US,12/6/2018,12/6/2018,3,26,14.5,20.0,31.7
KAPC,38.2,-122.28299999999999,NAPA            ,CA,US,12/6/2018,12/6/2018,34,58,46.0,36.2,57.0
KAPN,45.067,-83.56700000000001,ALPENA          ,MI,US,12/6/2018,12/6/2018,15,31,23.0,21.7,34.7
KAST,46.15,-123.883,ASTORIA         ,OR,US,12/6/2018,12/6/2018,30,46,38.0,36.9,49.3
KATL,33.633,-84.45,ATLANTA         ,GA,US,12/6/2018,12/6/2018,28,50,39.0,38.4,56.3
KATT,30.316999999999997,-97.76700000000001,AUSTIN/MABRY    ,TX,US,12/6/2018,12/6/2018,52,64,58.0,43.7,64.4
KAUS,30.183000000000003,-97.68299999999999,AUSTIN          ,TX,US,12/6/2018,12/6/2018,50,62,56.0,38.7,65.0
KAVL,35.433,-82.53299999999999,ASHEVILLE       ,NC,US,12/6/2018,12/6/2018,27,46,36.5,31.0,51.6
KAVP,41.333,-75.717,AVOCA/WILKES B. ,PA,US,12/6/2018,12/6/2018,24,36,30.0,27.0,40.6
KAZO,42.233000000000004,-85.55,KALAMAZOO       ,MI,US,12/6/2018,12/6/2018,25,32,28.5,25.7,37.8
KBAF,42.167,-72.717,WESTFIELD       ,MA,US,12/6/2018,12/6/2018,24,39,31.5,24.8,41.3
KBAZ,29.717,-98.05,NEW BRAUNFELS   ,TX,US,12/6/2018,12/6/2018,52,69,60.5,42.4,65.5
KBDL,41.933,-72.683,WINDSOR LOCKS   ,CT,US,12/6/2018,12/6/2018,25,40,32.5,26.9,43.1
KBDR,41.167,-73.133,BRIDGEPORT      ,CT,US,12/6/2018,12/6/2018,31,40,35.5,31.7,45.5
KBFF,41.867,-103.583,SCOTTSBLUFF     ,NE,US,12/6/2018,12/6/2018,13,34,23.5,13.5,40.6
KBFL,35.433,-119.05,BAKERSFIELD     ,CA,US,12/6/2018,12/6/2018,42,59,50.5,39.5,58.4
KBGM,42.217,-75.983,BINGHAMTON      ,NY,US,12/6/2018,12/6/2018,22,33,27.5,24.3,36.4
KBHM,33.567,-86.75,BIRMINGHAM      ,AL,US,12/6/2018,12/6/2018,30,49,39.5,38.0,58.1
KBIL,45.8,-108.55,BILLINGS,MT,US,12/6/2018,12/6/2018,13,31,22.0,19.2,36.1
KBIS,46.766999999999996,-100.75,BISMARCK        ,ND,US,12/6/2018,12/6/2018,10,24,17.0,9.1,28.9
KBKL,41.533,-81.667,CLEVELAND       ,OH,US,12/6/2018,12/6/2018,26,37,31.5,32.6,42.7
KBKW,37.8,-81.117,BECKLEY         ,WV,US,12/6/2018,12/6/2018,24,38,31.0,28.6,44.7
KBNA,36.117,-86.68299999999999,NASHVILLE       ,TN,US,12/6/2018,12/6/2018,32,48,40.0,33.2,51.9
KBNO,43.6,-118.95,BURNS           ,OR,US,12/6/2018,12/6/2018,-7,23,8.0,15.3,35.6
KBOI,43.567,-116.23299999999999,BOISE           ,ID,US,12/6/2018,12/6/2018,5,29,17.0,25.4,39.1
KBOS,42.367,-71.017,BOSTON          ,MA,US,12/6/2018,12/6/2018,30,40,35.0,31.6,44.4
KBPT,29.95,-94.03299999999999,BEAUMONT/PORT AR,TX,US,12/6/2018,12/6/2018,51,69,60.0,46.3,65.5
KBRO,25.916999999999998,-97.417,BROWNSVILLE     ,TX,US,12/6/2018,12/6/2018,66,77,71.5,54.3,73.5
KBTR,30.533,-91.15,BATON ROUGE     ,LA,US,12/6/2018,12/6/2018,42,62,52.0,44.0,65.8
KBTV,44.467,-73.15,BURLINGTON      ,VT,US,12/6/2018,12/6/2018,21,34,27.5,23.0,36.8
KBUF,42.933,-78.733,BUFFALO/CHEEKTOW,NY,US,12/6/2018,12/6/2018,22,35,28.5,27.1,39.1
KBUR,34.2,-118.367,BURBANK         ,CA,US,12/6/2018,12/6/2018,46,58,52.0,41.6,67.5
KBWI,39.167,-76.683,BALTO/WASH INTL ,MD,US,12/6/2018,12/6/2018,28,40,34.0,30.5,48.1
KCAE,33.933,-81.117,COLUMBIA        ,SC,US,12/6/2018,12/6/2018,32,52,42.0,37.0,60.6
KCAK,40.917,-81.45,AKRON           ,OH,US,12/6/2018,12/6/2018,25,37,31.0,26.9,40.0
KCAR,46.867,-68.017,CARIBOU         ,ME,US,12/6/2018,12/6/2018,5,24,14.5,15.3,29.6
KCHA,35.033,-85.2,CHATTANOOGA     ,TN,US,12/6/2018,12/6/2018,32,45,38.5,34.7,54.3
KCHO,38.133,-78.45,CHARLOTTESVILLE ,VA,US,12/6/2018,12/6/2018,28,44,36.0,30.6,49.4
KCHS,32.9,-80.033,CHARLESTON      ,SC,US,12/6/2018,12/6/2018,34,54,44.0,42.1,64.0
KCKB,39.3,-80.217,CLARKSBURG      ,WV,US,12/6/2018,12/6/2018,27,41,34.0,28.3,45.8
KCLE,41.417,-81.85,CLEVELAND       ,OH,US,12/6/2018,12/6/2018,27,37,32.0,29.6,41.4
KCLL,30.583000000000002,-96.367,COLLEGE STATION ,TX,US,12/6/2018,12/6/2018,54,66,60.0,43.6,64.1
KCLT,35.217,-80.95,CHARLOTTE       ,NC,US,12/6/2018,12/6/2018,30,49,39.5,33.7,55.3
KCMH,40.0,-82.883,COLUMBUS        ,OH,US,12/6/2018,12/6/2018,22,40,31.0,29.4,43.0
KCNK,39.55,-97.65,CONCORDIA       ,KS,US,12/6/2018,12/6/2018,20,34,27.0,22.2,41.5
KCON,43.2,-71.5,CONCORD         ,NH,US,12/6/2018,12/6/2018,22,37,29.5,21.2,39.7
KCOS,38.817,-104.71700000000001,COLORADO SPRINGS,CO,US,12/6/2018,12/6/2018,18,38,28.0,18.3,42.6
KCOU,38.817,-92.21700000000001,COLUMBIA        ,MO,US,12/6/2018,12/6/2018,19,37,28.0,26.1,43.7
KCPR,42.9,-106.46700000000001,CASPER          ,WY,US,12/6/2018,12/6/2018,0,25,12.5,14.3,34.9
KCQT,34.016999999999996,-118.28299999999999,LOS ANGELES     ,CA,US,12/6/2018,12/6/2018,52,61,56.5,48.0,68.1
KCRP,27.767,-97.5,CORPUS CHRISTI  ,TX,US,12/6/2018,12/6/2018,65,75,70.0,50.2,70.1
KCRW,38.383,-81.583,CHARLESTON      ,WV,US,12/6/2018,12/6/2018,26,43,34.5,31.4,48.3
KCSG,32.516999999999996,-84.95,COLUMBUS        ,GA,US,12/6/2018,12/6/2018,33,52,42.5,40.6,61.5
KCVG,39.05,-84.667,COVINGTON       ,KY,US,12/6/2018,12/6/2018,23,41,32.0,29.1,44.4
KCXY,40.217,-76.85,HARRISBURG      ,PA,US,12/6/2018,12/6/2018,28,40,34.0,29.8,44.6
KCYS,41.15,-104.81700000000001,CHEYENNE        ,WY,US,12/6/2018,12/6/2018,9,28,18.5,17.7,38.4
KDAB,29.183000000000003,-81.067,DAYTONA BEACH   ,FL,US,12/6/2018,12/6/2018,53,69,61.0,52.6,72.1
KDAL,32.85,-96.85,DALLAS/LOVE FLD ,TX,US,12/6/2018,12/6/2018,48,59,53.5,40.1,59.3
KDAY,39.9,-84.21700000000001,DAYTON          ,OH,US,12/6/2018,12/6/2018,22,39,30.5,27.0,41.0
KDBQ,42.4,-90.7,DUBUQUE         ,IA,US,12/6/2018,12/6/2018,12,27,19.5,18.4,33.4
KDCA,38.85,-77.033,WASHINGTON/NATL ,DC,US,12/6/2018,12/6/2018,35,44,39.5,35.0,49.6
KDDC,37.766999999999996,-99.96700000000001,DODGE CITY      ,KS,US,12/6/2018,12/6/2018,19,36,27.5,22.5,45.9
KDEN,39.833,-104.65,DENVER,CO,US,12/6/2018,12/6/2018,13,30,21.5,17.6,43.6
KDFW,32.9,-97.01700000000001,DALLAS/FT WORTH ,TX,US,12/6/2018,12/6/2018,44,54,49.0,38.8,58.9
KDLH,46.85,-92.2,DULUTH          ,MN,US,12/6/2018,12/6/2018,-3,18,7.5,11.0,25.1
KDOV,39.133,-75.467,Dover AFB,DE,US,12/6/2018,12/6/2018,30,40,35.0,33.2,50.0
KDRT,29.366999999999997,-100.917,DEL RIO         ,TX,US,12/6/2018,12/6/2018,51,68,59.5,42.1,65.3
KDSM,41.533,-93.667,DES MOINES      ,IA,US,12/6/2018,12/6/2018,13,28,20.5,20.6,36.8
KDTW,42.233000000000004,-83.333,DETROIT/WAYNE   ,MI,US,12/6/2018,12/6/2018,22,37,29.5,27.1,39.1
KDVN,41.617,-90.583,DAVENPORT/QUAD C,IA,US,12/6/2018,12/6/2018,15,30,22.5,20.5,36.4
KEAU,44.867,-91.46700000000001,EAU CLAIRE      ,WI,US,12/6/2018,12/6/2018,-9,20,5.5,13.9,30.1
KELP,31.816999999999997,-106.383,EL PASO         ,TX,US,12/6/2018,12/6/2018,48,66,57.0,33.6,58.5
KELY,39.3,-114.85,ELY             ,NV,US,12/6/2018,12/6/2018,5,36,20.5,11.9,40.5
KERI,42.083,-80.183,ERIE            ,PA,US,12/6/2018,12/6/2018,26,38,32.0,29.7,41.1
KEUG,44.133,-123.21700000000001,EUGENE          ,OR,US,12/6/2018,12/6/2018,24,42,33.0,34.5,46.5
KEVV,38.05,-87.51700000000001,EVANSVILLE      ,IN,US,12/6/2018,12/6/2018,23,43,33.0,29.2,46.7
KEWR,40.683,-74.167,NEWARK          ,NJ,US,12/6/2018,12/6/2018,30,40,35.0,32.6,46.6
KEYW,24.55,-81.75,KEY WEST        ,FL,US,12/6/2018,12/6/2018,69,80,74.5,68.6,77.2
KFAR,46.933,-96.81700000000001,FARGO           ,ND,US,12/6/2018,12/6/2018,6,18,12.0,9.3,25.5
KFAT,36.783,-119.71700000000001,FRESNO          ,CA,US,12/6/2018,12/6/2018,40,51,45.5,38.6,56.9
KFLG,35.133,-111.667,FLAGSTAFF       ,AZ,US,12/6/2018,12/6/2018,21,38,29.5,17.5,43.6
KFMY,26.583000000000002,-81.867,FORT MYERS      ,FL,US,12/6/2018,12/6/2018,51,76,63.5,58.2,78.1
KFNT,42.967,-83.75,FLINT           ,MI,US,12/6/2018,12/6/2018,18,31,24.5,23.9,37.2
KFSD,43.583,-96.75,SIOUX FALLS     ,SD,US,12/6/2018,12/6/2018,5,24,14.5,12.4,31.0
KFSM,35.333,-94.367,FORT SMITH      ,AR,US,12/6/2018,12/6/2018,38,48,43.0,33.1,53.7
KFTW,32.833,-97.367,FORT WORTH      ,TX,US,12/6/2018,12/6/2018,44,59,51.5,38.0,58.9
KFTY,33.783,-84.51700000000001,ATLANTA/FULTON  ,GA,US,12/6/2018,12/6/2018,30,49,39.5,36.7,56.8
KFWA,40.983000000000004,-85.18299999999999,FORT WAYNE      ,IN,US,12/6/2018,12/6/2018,23,36,29.5,25.0,39.2
KFYV,36.016999999999996,-94.167,FAYETTEVILLE    ,AR,US,12/6/2018,12/6/2018,29,46,37.5,28.8,50.1
KGAG,36.3,-99.76700000000001,GAGE            ,OK,US,12/6/2018,12/6/2018,20,39,29.5,22.9,50.5
KGEG,47.617,-117.53299999999999,SPOKANE/METRO   ,WA,US,12/6/2018,12/6/2018,20,32,26.0,23.7,33.2
KGFK,47.95,-97.18299999999999,GRAND FORKS     ,ND,US,12/6/2018,12/6/2018,4,17,10.5,6.1,23.4
KGGW,48.217,-106.617,GLASGOW         ,MT,US,12/6/2018,12/6/2018,-9,16,3.5,9.3,28.8
KGJT,39.117,-108.51700000000001,GRAND JUNCTION  ,CO,US,12/6/2018,12/6/2018,21,37,29.0,20.3,40.4
KGLD,39.367,-101.7,GOODLAND        ,KS,US,12/6/2018,12/6/2018,17,34,25.5,18.3,43.4
KGLS,29.267,-94.867,GALVESTON       ,TX,US,12/6/2018,12/6/2018,61,70,65.5,52.4,65.5
KGPI,48.317,-114.25,KALISPELL       ,MT,US,12/6/2018,12/6/2018,11,26,18.5,17.8,31.2
KGRB,44.483000000000004,-88.133,ASHWAUBENON     ,WI,US,12/6/2018,12/6/2018,0,26,13.0,17.7,31.7
